,movie_title,imdb_id,item_id,year
121,Chungking Express (Chung Hing sam lam),0109424,123,(1994)
122,"Star Maker, The (Uomo delle stelle, L')",0114808,124,(1995)
123,Flirting With Disaster,0116324,125,(1996)
124,"NeverEnding Story III, The",0110647,126,(1994)
125,"Silences of the Palace, The (Saimt el Qusur)",0111055,127,(1994)
126,Jupiter's Wife,0110217,128,(1994)
127,Pie in the Sky,0114131,129,(1996)
128,Angela,0112364,130,(1995)
129,Frankie Starlight,0113107,131,(1995)
130,Jade,0113451,132,(1995)
131,Nueba Yol,0114015,133,(1995)
132,Sonic Outlaws,0114500,134,(1995)
133,Down Periscope,0116130,135,(1996)
134,From the Journals of Jean Seberg,0113125,136,(1995)
135,Man of the Year,0113756,137,(1995)
136,"Neon Bible, The",0113952,138,(1995)
137,Target,0114618,139,(1995)
138,Up Close and Personal,0118055,140,(1996)
139,"Birdcage, The",0115685,141,(1996)
140,Shadows (Cienie),0094878,142,(1988)
141,Gospa,0113200,143,(1995)
142,"Brothers McMullen, The",0112585,144,(1995)
143,Bad Boys,0112442,145,(1995)
144,"Amazing Panda Adventure, The",0112342,146,(1995)
145,"Basketball Diaries, The",0112461,147,(1995)
146,"Awfully Big Adventure, An",0112427,148,(1995)
147,Amateur,0109093,149,(1994)
148,Apollo 13,0112384,150,(1995)
149,Rob Roy,0114287,151,(1995)
150,"Addiction, The",0112288,152,(1995)
151,Batman Forever,0112462,153,(1995)
152,Beauty of the Day (Belle de jour),0061395,154,(1967)
153,Beyond Rangoon,0112495,155,(1995)
154,Blue in the Face,0112541,156,(1995)
155,Canadian Bacon,0109370,157,(1995)
156,Casper,0112642,158,(1995)
157,Clockers,0112688,159,(1995)
158,Congo,0112715,160,(1995)
159,Crimson Tide,0112740,161,(1995)
160,Crumb,0109508,162,(1994)
161,Desperado,0112851,163,(1995)
162,Devil in a Blue Dress,0112857,164,(1995)
163,Die Hard: With a Vengeance,0112864,165,(1995)
164,"Doom Generation, The",0112887,166,(1995)
165,Feast of July,0113044,167,(1995)
166,First Knight,0113071,168,(1995)
167,Free Willy 2: The Adventure Home,0113114,169,(1995)
168,Hackers,0113243,170,(1995)
169,Jeffrey,0113464,171,(1995)
170,Johnny Mnemonic,0113481,172,(1995)
171,Judge Dredd,0113492,173,(1995)
172,Jury Duty,0113500,174,(1995)
173,Kids,0113540,175,(1995)
174,Living in Oblivion,0113677,176,(1995)
175,Lord of Illusions,0113690,177,(1995)
176,Love & Human Remains,0107447,178,(1993)
177,Mad Love,0113729,179,(1995)
178,Mallrats,0113749,180,(1995)
179,Mighty Morphin Power Rangers: The Movie,0113820,181,(1995)
180,Moonlight and Valentino,0113851,182,(1995)
181,Mute Witness,0110604,183,(1994)
182,Nadja,0110620,184,(1994)
183,"Net, The",0113957,185,(1995)
184,Nine Months,0113986,186,(1995)
185,Party Girl,0114095,187,(1995)
186,"Prophecy, The",0114194,188,(1995)
187,Reckless,0114241,189,(1995)
188,Safe,0114323,190,(1995)
189,"Scarlet Letter, The",0114345,191,(1995)
190,The Show,0114435,192,(1995)
191,Showgirls,0114436,193,(1995)
192,Smoke,0114478,194,(1995)
193,Something to Talk About,0114496,195,(1995)
194,Species,0114508,196,(1995)
195,"Stars Fell on Henrietta, The",0114534,197,(1995)
196,Strange Days,0114558,198,(1995)
197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",0058450,199,(1964)
198,"Tie That Binds, The",0114666,200,(1995)
199,Three Wishes,0114663,201,(1995)
200,Total Eclipse,0114702,202,(1995)
201,"To Wong Foo, Thanks for Everything! Julie Newmar",0114682,203,(1995)
202,Under Siege 2: Dark Territory,0114781,204,(1995)
203,Unstrung Heroes,0114798,205,(1995)
204,Unzipped,0114805,206,(1995)
205,"Walk in the Clouds, A",0114887,207,(1995)
206,Waterworld,0114898,208,(1995)
207,White Man's Burden,0114928,209,(1995)
208,Wild Bill,0114938,210,(1995)
209,"Browning Version, The",0109340,211,(1994)
210,Bushwhacked,0112602,212,(1995)
211,Burnt by the Sun (Utomlyonnye solntsem),0111579,213,(1994)
212,Before the Rain (Pred dozhdot),0110882,214,(1994)
213,Before Sunrise,0112471,215,(1995)
214,Billy Madison,0112508,216,(1995)
215,"Babysitter, The",0112438,217,(1995)
216,Boys on the Side,0112571,218,(1995)
217,"Cure, The",0112757,219,(1995)
218,Castle Freak,0112643,220,(1995)
219,Circle of Friends,0112679,222,(1995)
220,Clerks,0109445,223,(1994)
221,Don Juan DeMarco,0112883,224,(1995)
222,Disclosure,0109635,225,(1994)
223,Dream Man,0112899,226,(1995)
224,Drop Zone,0109676,227,(1994)
225,Destiny Turns on the Radio,0112854,228,(1995)
226,Death and the Maiden,0109579,229,(1994)
227,Dolores Claiborne,0109642,230,(1995)
228,Dumb & Dumber (Dumb and Dumber),0109686,231,(1994)
229,Eat Drink Man Woman (Yin shi nan nu),0111797,232,(1994)
230,Exotica,0109759,233,(1994)
231,Exit to Eden,0109758,234,(1994)
232,Ed Wood,0109707,235,(1994)
233,French Kiss,0113117,236,(1995)
234,Forget Paris,0113097,237,(1995)
235,Far From Home: The Adventures of Yellow Dog,0113028,238,(1995)
236,"Goofy Movie, A",0113198,239,(1995)
237,Hideaway,0113303,240,(1995)
238,Fluke,0113089,241,(1995)
239,Farinelli: il castrato,0109771,242,(1994)
240,Gordy,0113199,243,(1995)
241,Gumby: The Movie,0113234,244,(1995)
242,The Glass Shield,0109906,245,(1994)
243,Hoop Dreams,0110057,246,(1994)
244,Heavenly Creatures,0110005,247,(1994)
245,Houseguest,0110066,248,(1994)
246,Immortal Beloved,0110116,249,(1994)
247,Heavyweights (Heavy Weights),0110006,250,(1995)
248,"Hunted, The",0113360,251,(1995)
249,I.Q.,0110099,252,(1994)
250,Interview with the Vampire: The Vampire Chronicles,0110148,253,(1994)
251,Jefferson in Paris,0113463,254,(1995)
252,"Jerky Boys, The",0110189,255,(1995)
253,Junior,0110216,256,(1994)
254,Just Cause,0113501,257,(1995)
255,"Kid in King Arthur's Court, A",0113538,258,(1995)
256,Kiss of Death,0113552,259,(1995)
257,Star Wars: Episode IV - A New Hope,0076759,260,(1977)
258,Little Women,0110367,261,(1994)
259,"Little Princess, A",0113670,262,(1995)
260,Ladybird Ladybird,0110296,263,(1994)
261,"Enfer, L'",0109731,264,(1994)
262,Like Water for Chocolate (Como agua para chocolate),0103994,265,(1992)
263,Legends of the Fall,0110322,266,(1994)
264,Major Payne,0110443,267,(1995)
265,Little Odessa,0110365,268,(1994)
266,My Crazy Life (Mi vida loca),0107566,269,(1993)
267,Love Affair,0110391,270,(1994)
268,Losing Isaiah,0113691,271,(1995)
269,"Madness of King George, The",0110428,272,(1994)
270,Mary Shelley's Frankenstein (Frankenstein),0109836,273,(1994)
271,Man of the House,0113755,274,(1995)
272,Mixed Nuts,0110538,275,(1994)
273,Milk Money,0110516,276,(1994)
274,Miracle on 34th Street,0110527,277,(1994)
275,Miami Rhapsody,0113808,278,(1995)
276,My Family,0113896,279,(1995)
277,Murder in the First,0113870,280,(1995)
278,Nobody's Fool,0110684,281,(1994)
279,Nell,0110638,282,(1994)
280,New Jersey Drive,0113967,283,(1995)
281,New York Cop (Nyû Yôku no koppu),0117169,284,(1993)
282,Beyond Bedlam,0106402,285,(1993)
283,Nemesis 2: Nebula,0113948,286,(1995)
284,Nina Takes a Lover,0110671,287,(1994)
285,Natural Born Killers,0110632,288,(1994)
286,Only You,0110737,289,(1994)
287,Once Were Warriors,0110729,290,(1994)
288,Poison Ivy II,0114151,291,(1996)
289,Outbreak,0114069,292,(1995)
290,Léon: The Professional (a.k.a. The Professional) (Léon),0110413,293,(1994)
291,"Perez Family, The",0114113,294,(1995)
292,"Pyromaniac's Love Story, A",0114210,295,(1995)
293,Pulp Fiction,0110912,296,(1994)
294,Panther,0114084,297,(1995)
295,Pushing Hands (Tui shou),0105652,298,(1992)
296,Priest,0110889,299,(1994)
297,Quiz Show,0110932,300,(1994)
298,Picture Bride (Bijo photo),0114129,301,(1994)
299,"Queen Margot (Reine Margot, La)",0110963,302,(1994)
300,"Quick and the Dead, The",0114214,303,(1995)
301,Roommates,0114296,304,(1995)
302,Ready to Wear (Pret-A-Porter),0110907,305,(1994)
303,Three Colors: Red (Trois couleurs: Rouge),0111495,306,(1994)
304,Three Colors: Blue (Trois couleurs: Bleu),0108394,307,(1993)
305,Three Colors: White (Trzy kolory: Bialy),0111507,308,(1994)
306,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",0110769,309,(1994)
307,Rent-a-Kid,0114268,310,(1995)
308,Relative Fear,0110965,311,(1994)
309,Stuart Saves His Family,0114571,312,(1995)
310,"Swan Princess, The",0111333,313,(1994)
311,"Secret of Roan Inish, The",0111112,314,(1994)
312,"Specialist, The",0111255,315,(1994)
313,Stargate,0111282,316,(1994)
314,"Santa Clause, The",0111070,317,(1994)
315,"Shawshank Redemption, The",0111161,318,(1994)
316,Shallow Grave,0111149,319,(1994)
317,Suture,0108260,320,(1993)
318,Strawberry and Chocolate (Fresa y chocolate),0106966,321,(1993)
319,Swimming with Sharks,0114594,322,(1995)
320,"Sum of Us, The",0111309,324,(1994)
321,National Lampoon's Senior Trip,0113936,325,(1995)
322,To Live (Huozhe),0110081,326,(1994)
323,Tank Girl,0114614,327,(1995)
324,Tales from the Crypt Presents: Demon Knight,0114608,328,(1995)
325,Star Trek: Generations,0111280,329,(1994)
326,Tales from the Hood,0114609,330,(1995)
327,Tom & Viv,0111454,331,(1994)
328,Village of the Damned,0114852,332,(1995)
329,Tommy Boy,0114694,333,(1995)
330,Vanya on 42nd Street,0111590,334,(1994)
331,Underneath,0114788,335,(1995)
332,"Walking Dead, The",0114888,336,(1995)
333,What's Eating Gilbert Grape,0108550,337,(1993)
334,Virtuosity,0114857,338,(1995)
335,While You Were Sleeping,0114924,339,(1995)
336,"War, The",0111667,340,(1994)
337,Double Happiness,0109655,341,(1994)
338,Muriel's Wedding,0110598,342,(1994)
339,"Baby-Sitters Club, The",0112435,343,(1995)
340,Ace Ventura: Pet Detective,0109040,344,(1994)
341,"Adventures of Priscilla, Queen of the Desert, The",0109045,345,(1994)
342,Backbeat,0106339,346,(1993)
343,Bitter Moon,0104779,347,(1992)
344,Bullets Over Broadway,0109348,348,(1994)
345,Clear and Present Danger,0109444,349,(1994)
346,"Client, The",0109446,350,(1994)
347,"Corrina, Corrina",0109484,351,(1994)
348,Crooklyn,0109504,352,(1994)
349,"Crow, The",0109506,353,(1994)
350,Cobb,0109450,354,(1994)
351,"Flintstones, The",0109813,355,(1994)
352,Forrest Gump,0109830,356,(1994)
353,Four Weddings and a Funeral,0109831,357,(1994)
354,Higher Learning,0113305,358,(1995)
355,I Like It Like That,0110091,359,(1994)
356,I Love Trouble,0110093,360,(1994)
357,It Could Happen to You,0110167,361,(1994)
358,"Jungle Book, The",0110213,362,(1994)
359,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",0107472,363,(1993)
360,"Lion King, The",0110357,364,(1994)
361,Little Buddha,0107426,365,(1993)
362,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",0111686,366,(1994)
363,"Mask, The",0110475,367,(1994)
364,Maverick,0110478,368,(1994)
365,Mrs. Parker and the Vicious Circle,0110588,369,(1994)
366,Naked Gun 33 1/3: The Final Insult,0110622,370,(1994)
367,"Paper, The",0110771,371,(1994)
368,Reality Bites,0110950,372,(1994)
369,Red Rock West,0105226,373,(1992)
370,Richie Rich,0110989,374,(1994)
371,Safe Passage,0111054,375,(1994)
372,"River Wild, The",0110997,376,(1994)
373,Speed,0111257,377,(1994)
374,Speechless,0111256,378,(1994)
375,Timecop,0111438,379,(1994)
376,True Lies,0111503,380,(1994)
377,When a Man Loves a Woman,0111693,381,(1994)
378,Wolf,0111742,382,(1994)
379,Wyatt Earp,0111756,383,(1994)
380,Bad Company,0112443,384,(1995)
381,"Man of No Importance, A",0110455,385,(1994)
382,S.F.W.,0111048,386,(1994)
383,"Low Down Dirty Shame, A",0110399,387,(1994)
384,Boys Life,0112570,388,(1995)
385,"Colonel Chabert, Le",0109454,389,(1994)
386,Faster Pussycat! Kill! Kill!,0059170,390,(1965)
387,Jason's Lyric,0110186,391,(1994)
388,"Secret Adventures of Tom Thumb, The",0108069,392,(1993)
389,Street Fighter,0111301,393,(1994)
390,Coldblooded,0112702,394,(1995)
391,Desert Winds,0112849,395,(1995)
392,Fall Time,0113014,396,(1995)
393,"Fear, The",0113043,397,(1995)
394,Frank and Ollie,0113104,398,(1995)
395,Girl in the Cadillac,0113173,399,(1995)
396,Homage,0113319,400,(1995)
397,Mirage,0113827,401,(1995)
398,Open Season,0114047,402,(1996)
399,Two Crimes (Dos crímenes),0112889,403,(1995)
400,Brother Minister: The Assassination of Malcolm X,0109339,404,(1994)
401,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),0110027,405,(1994)
402,Federal Hill,0109785,406,(1994)
403,In the Mouth of Madness,0113409,407,(1995)
404,8 Seconds,0109021,408,(1994)
405,Above the Rim,0109035,409,(1994)
406,Addams Family Values,0106220,410,(1993)
407,Martin Lawrence: You So Crazy,0111804,411,(1994)
408,"Age of Innocence, The",0106226,412,(1993)
409,Airheads,0109068,413,(1994)
410,"Air Up There, The",0109067,414,(1994)
411,Another Stakeout,0106292,415,(1993)
412,Bad Girls,0109198,416,(1994)
413,Barcelona,0109219,417,(1994)
414,Being Human,0106379,418,(1993)
415,"Beverly Hillbillies, The",0106400,419,(1993)
416,Beverly Hills Cop III,0109254,420,(1994)
417,Black Beauty,0109279,421,(1994)
418,Blink,0109297,422,(1994)
419,Blown Away,0109303,423,(1994)
420,Blue Chips,0109305,424,(1994)
421,Blue Sky,0109306,425,(1994)
422,Body Snatchers,0106452,426,(1993)
423,Boxing Helena,0106471,427,(1993)
424,"Bronx Tale, A",0106489,428,(1993)
425,Cabin Boy,0109361,429,(1994)
426,Calendar Girl,0106505,430,(1993)
427,Carlito's Way,0106519,431,(1993)
428,City Slickers II: The Legend of Curly's Gold,0109439,432,(1994)
429,Clean Slate,0109443,433,(1994)
430,Cliffhanger,0106582,434,(1993)
431,Coneheads,0106598,435,(1993)
432,Color of Night,0109456,436,(1994)
433,Cops and Robbersons,0109480,437,(1994)
434,"Cowboy Way, The",0109493,438,(1994)
435,Dangerous Game,0106660,439,(1993)
436,Dave,0106673,440,(1993)
437,Dazed and Confused,0106677,441,(1993)
438,Demolition Man,0106697,442,(1993)
439,"Endless Summer 2, The",0109729,443,(1994)
440,Even Cowgirls Get the Blues,0106834,444,(1993)
441,Fatal Instinct,0106873,445,(1993)
442,Farewell My Concubine (Ba wang bie ji),0106332,446,(1993)
443,"Favor, The",0109783,447,(1994)
444,Fearless,0106881,448,(1993)
445,Fear of a Black Hat,0106880,449,(1994)
446,With Honors,0111732,450,(1994)
447,Flesh and Bone,0106926,451,(1993)
448,Widows' Peak,0111712,452,(1994)
449,For Love or Money,0106941,453,(1993)
450,"Firm, The",0106918,454,(1993)
451,Free Willy,0106965,455,(1993)
452,Fresh,0109842,456,(1994)
453,"Fugitive, The",0106977,457,(1993)
454,Geronimo: An American Legend,0107004,458,(1993)
455,"Getaway, The",0109890,459,(1994)
456,Getting Even with Dad,0109891,460,(1994)
457,Go Fish,0109913,461,(1994)
458,"Good Man in Africa, A",0109920,462,(1994)
459,Guilty as Sin,0107057,463,(1993)
460,Hard Target,0107076,464,(1993)
461,Heaven & Earth,0107096,465,(1993)
462,Hot Shots! Part Deux,0107144,466,(1993)
463,Live Nude Girls,0113674,467,(1995)
464,"Englishman Who Went Up a Hill But Came Down a Mountain, The",0112966,468,(1995)
465,"House of the Spirits, The",0107151,469,(1993)
466,House Party 3,0110064,470,(1994)
467,"Hudsucker Proxy, The",0110074,471,(1994)
468,I'll Do Anything,0110097,472,(1994)
469,In the Army Now,0110123,473,(1994)
470,In the Line of Fire,0107206,474,(1993)
471,In the Name of the Father,0107207,475,(1993)
472,"Inkwell, The",0110137,476,(1994)
473,What's Love Got to Do with It?,0108551,477,(1993)
474,Jimmy Hollywood,0110197,478,(1994)
475,Judgment Night,0107286,479,(1993)
476,Jurassic Park,0107290,480,(1993)
477,Kalifornia,0107302,481,(1993)
478,Killing Zoe,0110265,482,(1994)
479,King of the Hill,0107322,483,(1993)
480,Lassie,0110305,484,(1994)
481,Last Action Hero,0107362,485,(1993)
482,Life with Mikey,0107413,486,(1993)
483,Lightning Jack,0110353,487,(1994)
484,M. Butterfly,0107468,488,(1993)
485,Made in America,0107478,489,(1993)
486,Malice,0107497,490,(1993)
487,"Man Without a Face, The",0107501,491,(1993)
488,Manhattan Murder Mystery,0107507,492,(1993)
489,Menace II Society,0107554,493,(1993)
490,Executive Decision,0116253,494,(1996)
491,In the Realm of the Senses (Ai no corrida),0074102,495,(1976)
492,What Happened Was...,0111689,496,(1994)
493,Much Ado About Nothing,0107616,497,(1993)
494,Mr. Jones,0107611,498,(1993)
495,Mr. Wonderful,0107613,499,(1993)
496,Mrs. Doubtfire,0107614,500,(1993)
497,Naked,0107653,501,(1993)
498,"Next Karate Kid, The",0110657,502,(1994)
499,"New Age, The",0110649,503,(1994)
500,No Escape,0110678,504,(1994)
501,North,0110687,505,(1994)
502,Orlando,0107756,506,(1992)
503,"Perfect World, A",0107808,507,(1993)
504,Philadelphia,0107818,508,(1993)
505,"Piano, The",0107822,509,(1993)
506,Poetic Justice,0107840,510,(1993)
507,"Program, The",0107889,511,(1993)
508,"Puppet Masters, The",0111003,512,(1994)
509,Radioland Murders,0110939,513,(1994)
510,"Ref, The",0110955,514,(1994)
511,"Remains of the Day, The",0107943,515,(1993)
512,Renaissance Man,0110971,516,(1994)
513,Rising Sun,0107969,517,(1993)
514,"Road to Wellville, The",0111001,518,(1994)
515,RoboCop 3,0107978,519,(1993)
516,Robin Hood: Men in Tights,0107977,520,(1993)
517,Romeo Is Bleeding,0107983,521,(1993)
518,Romper Stomper,0105275,522,(1992)
519,Ruby in Paradise,0108000,523,(1993)
520,Rudy,0108002,524,(1993)
521,"Saint of Fort Washington, The",0108026,525,(1993)
522,"Savage Nights (Nuits fauves, Les)",0105032,526,(1992)
523,Schindler's List,0108052,527,(1993)
524,"Scout, The",0111094,528,(1994)
525,Searching for Bobby Fischer,0108065,529,(1993)
526,Second Best,0111102,530,(1994)
527,"Secret Garden, The",0108071,531,(1993)
528,Serial Mom,0111127,532,(1994)
529,"Shadow, The",0111143,533,(1994)
530,Shadowlands,0108101,534,(1993)
531,Short Cuts,0108122,535,(1993)
532,"Simple Twist of Fate, A",0111194,536,(1994)
533,Sirens,0111201,537,(1994)
534,Six Degrees of Separation,0108149,538,(1993)
535,Sleepless in Seattle,0108160,539,(1993)
536,Sliver,0108162,540,(1993)
537,Blade Runner,0083658,541,(1982)
538,Son in Law,0108186,542,(1993)
539,So I Married an Axe Murderer,0108174,543,(1993)
540,Striking Distance,0108238,544,(1993)
541,Harem,0089256,545,(1985)
542,Super Mario Bros.,0108255,546,(1993)
543,Surviving the Game,0111323,547,(1994)
544,Terminal Velocity,0111400,548,(1994)
545,Thirty-Two Short Films About Glenn Gould,0108328,549,(1993)
546,Threesome,0111418,550,(1994)
547,"Nightmare Before Christmas, The",0107688,551,(1993)
548,"Three Musketeers, The",0108333,552,(1993)
549,Tombstone,0108358,553,(1993)
550,Trial by Jury,0111488,554,(1994)
551,True Romance,0108399,555,(1993)
552,"War Room, The",0108515,556,(1993)
553,"Pagemaster, The",0110763,558,(1994)
554,"Paris, France",0107779,559,(1993)
555,"Beans of Egypt, Maine, The",0109226,560,(1994)
556,Killer (Bulletproof Heart),0110259,561,(1994)
557,Welcome to the Dollhouse,0114906,562,(1995)
558,Germinal,0107002,563,(1993)
559,Chasers,0109403,564,(1994)
560,Cronos,0104029,565,(1993)
561,Naked in New York,0110623,566,(1994)
562,Kika,0107315,567,(1993)
563,Bhaji on the Beach,0106408,568,(1993)
564,Little Big League,0110363,569,(1994)
565,"Slingshot, The (Kådisbellan)",0107349,570,(1993)
566,"Wedding Gift, The",0111709,571,(1994)
567,Foreign Student,0109828,572,(1994)
568,"Ciao, Professore! (Io speriamo che me la cavo)",0107225,573,(1992)
569,Spanking the Monkey,0111252,574,(1994)
570,"Little Rascals, The",0110366,575,(1994)
571,Fausto,0106878,576,(1993)
572,Andre,0109120,577,(1994)
573,"Escort, The (Scorta, La)",0108059,579,(1993)
574,Princess Caraboo,0110892,580,(1994)
575,"Celluloid Closet, The",0112651,581,(1995)
576,Métisse (Café au Lait),0107642,582,(1993)
577,Dear Diary (Caro Diario),0109382,583,(1994)
578,I Don't Want to Talk About It (De eso no se habla),0106678,584,(1993)
579,"Brady Bunch Movie, The",0112572,585,(1995)
580,Home Alone,0099785,586,(1990)
581,Ghost,0099653,587,(1990)
582,Aladdin,0103639,588,(1992)
583,Terminator 2: Judgment Day,0103064,589,(1991)
584,Dances with Wolves,0099348,590,(1990)
585,Tough and Deadly,0114706,591,(1995)
586,Batman,0096895,592,(1989)
587,"Silence of the Lambs, The",0102926,593,(1991)
588,Snow White and the Seven Dwarfs,0029583,594,(1937)
589,Beauty and the Beast,0101414,595,(1991)
590,Pinocchio,0032910,596,(1940)
591,Pretty Woman,0100405,597,(1990)
592,Window to Paris (Okno v Parizh),0110719,598,(1994)
593,"Wild Bunch, The",0065214,599,(1969)
594,Love and a .45,0110395,600,(1994)
595,"Wooden Man's Bride, The (Yan shen)",0111752,601,(1994)
596,"Great Day in Harlem, A",0109934,602,(1994)
597,"Bye Bye, Love",0112606,603,(1995)
598,Criminals,0115978,604,(1996)
599,One Fine Day,0117247,605,(1996)
600,Candyman: Farewell to the Flesh,0112625,606,(1995)
601,Century,0106537,607,(1993)
602,Fargo,0116282,608,(1996)
603,Homeward Bound II: Lost in San Francisco,0116552,609,(1996)
604,Heavy Metal,0082509,610,(1981)
605,Hellraiser: Bloodline,0116514,611,(1996)
606,"Pallbearer, The",0117283,612,(1996)
607,Jane Eyre,0116684,613,(1996)
608,Loaded,0110374,614,(1994)
609,Bread and Chocolate (Pane e cioccolata),0070506,615,(1973)
610,"Aristocats, The",0065421,616,(1970)
